Trip Duration,Start Time,Stop Time,Start Station ID,Start Station Name,Start Station Latitude,Start Station Longitude,End Station ID,End Station Name,End Station Latitude,End Station Longitude,Bike ID,User Type,Birth Year,Gender,Month,Trip Week
2624,2020-04-01 13:30:11.596,2020-04-01 14:13:56.560,3203,Hamilton Park,40.727595965999996,-74.044247311,3213,Van Vorst Park,40.71848892,-74.047726625,42352,Subscriber,1968,1,April,Wednesday
161,2020-04-01 13:31:31.748,2020-04-01 13:34:13.663,3211,Newark Ave,40.72152515,-74.046304543,3185,City Hall,40.717732500000004,-74.04384499999999,42590,Subscriber,1985,1,April,Wednesday
608,2020-04-01 13:33:37.730,2020-04-01 13:43:46.638,3483,Montgomery St,40.71942,-74.05099,3187,Warren St,40.721123600000006,-74.03805095,42259,Subscriber,1994,1,April,Wednesday
585,2020-04-01 13:33:44.762,2020-04-01 13:43:29.779,3483,Montgomery St,40.71942,-74.05099,3187,Warren St,40.721123600000006,-74.03805095,42377,Subscriber,1993,1,April,Wednesday
564,2020-04-01 13:34:10.351,2020-04-01 13:43:35.157,3483,Montgomery St,40.71942,-74.05099,3187,Warren St,40.721123600000006,-74.03805095,19853,Customer,1969,0,April,Wednesday
942,2020-04-01 13:36:03.525,2020-04-01 13:51:46.331,3269,Brunswick & 6th,40.726011729646245,-74.0503889322281,3196,Riverview Park,40.7443187,-74.04399090000001,42386,Subscriber,1987,2,April,Wednesday
257,2020-04-01 13:38:18.440,2020-04-01 13:42:35.927,3210,Pershing Field,40.742677141,-74.051788633,3212,Christ Hospital,40.734785818,-74.050443636,27580,Subscriber,1988,1,April,Wednesday
1273,2020-04-01 13:41:54.169,2020-04-01 14:03:07.195,3276,Marin Light Rail,40.71458403535893,-74.04281705617905,3185,City Hall,40.717732500000004,-74.04384499999999,42390,Subscriber,1985,1,April,Wednesday
2081,2020-04-01 13:46:21.982,2020-04-01 14:21:03.881,3276,Marin Light Rail,40.71458403535893,-74.04281705617905,3276,Marin Light Rail,40.71458403535893,-74.04281705617905,42505,Customer,1989,1,April,Wednesday
1326,2020-04-01 13:48:55.306,2020-04-01 14:11:01.990,3679,Bergen Ave,40.72210378668603,-74.07145500183104,3193,Lincoln Park,40.7246050998869,-74.07840594649316,42436,Subscriber,1987,1,April,Wednesday
841,2020-04-01 13:51:43.933,2020-04-01 14:05:45.739,3192,Liberty Light Rail,40.711242299999995,-74.0557013,3639,Harborside,40.71925170000001,-74.034234,42528,Subscriber,1970,1,April,Wednesday
701,2020-04-01 13:52:48.257,2020-04-01 14:04:29.809,3195,Sip Ave,40.73089709786179,-74.06391263008119,3191,Union St,40.71821129999999,-74.08363940000001,42494,Subscriber,1983,1,April,Wednesday
262,2020-04-01 13:55:54.199,2020-04-01 14:00:17.028,3269,Brunswick & 6th,40.726011729646245,-74.0503889322281,3211,Newark Ave,40.72152515,-74.046304543,42289,Subscriber,1973,2,April,Wednesday
1228,2020-04-01 14:05:30.765,2020-04-01 14:25:58.775,3199,Newport Pkwy,40.728744799999994,-74.03210820000001,3681,Grand St,40.71517767732029,-74.03768330812454,42185,Subscriber,1961,1,April,Wednesday
1834,2020-04-01 14:06:28.801,2020-04-01 14:37:03.562,3267,Morris Canal,40.7124188237569,-74.03852552175522,3267,Morris Canal,40.7124188237569,-74.03852552175522,42274,Subscriber,1984,1,April,Wednesday
1241,2020-04-01 14:10:51.208,2020-04-01 14:31:32.355,3225,Baldwin at Montgomery,40.7236589,-74.0641943,3206,Hilltop,40.7311689,-74.0575736,42548,Subscriber,1991,1,April,Wednesday
3032,2020-04-01 14:20:08.770,2020-04-01 15:10:40.941,3276,Marin Light Rail,40.71458403535893,-74.04281705617905,3276,Marin Light Rail,40.71458403535893,-74.04281705617905,42121,Subscriber,1983,1,April,Wednesday
900,2020-04-01 14:26:25.361,2020-04-01 14:41:25.871,3267,Morris Canal,40.7124188237569,-74.03852552175522,3186,Grove St PATH,40.71958611647166,-74.0431174635887,42107,Subscriber,1977,2,April,Wednesday
305,2020-04-01 14:27:37.853,2020-04-01 14:32:43.436,3205,JC Medical Center,40.71653978099194,-74.0496379137039,3187,Warren St,40.721123600000006,-74.03805095,42270,Subscriber,1990,1,April,Wednesday
304,2020-04-01 14:29:05.280,2020-04-01 14:34:09.717,3270,Jersey & 6th St,40.72528910781132,-74.04557168483734,3187,Warren St,40.721123600000006,-74.03805095,42307,Subscriber,1981,1,April,Wednesday
253,2020-04-01 14:33:51.871,2020-04-01 14:38:05.144,3194,McGinley Square,40.7253399253558,-74.06762212514876,3195,Sip Ave,40.73089709786179,-74.06391263008119,42485,Subscriber,1980,1,April,Wednesday
742,2020-04-01 14:39:42.357,2020-04-01 14:52:05.300,3186,Grove St PATH,40.71958611647166,-74.0431174635887,3199,Newport Pkwy,40.728744799999994,-74.03210820000001,42123,Subscriber,1989,2,April,Wednesday
323,2020-04-01 14:41:34.350,2020-04-01 14:46:58.079,3193,Lincoln Park,40.7246050998869,-74.07840594649316,3679,Bergen Ave,40.72210378668603,-74.07145500183104,42436,Subscriber,1987,1,April,Wednesday
